WeatherModificationRef,WeatherModificationSystemId,WeatherModificationID,CaseRef,WeatherModification_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"WM_JO_100","JO",100,"C_EGD_2259","Storm","jhm","01_23_02_11:38:55","jhm","01_23_02_11:38:59"
"WM_JO_101","JO",101,"C_EGD_2162","Storm","jhm","06_03_02_15:20:43","jhm","06_03_02_15:20:45"
"WM_JO_105","JO",105,"C_EGD_1533","Storm","jhm","08_27_02_09:43:47","jhm","08_27_02_09:43:48"
"WM_JO_6","JO",6,"C_JO_2882",,"jhm","09_07_01_12:22:59","jhm","09_07_01_12:32:37"
"WM_JO_7","JO",7,"C_JO_2883","Whirlwind","jhm","09_07_01_13:03:09","jhm","09_07_01_13:03:10"
"WM_LA_1","LA",1,"C_EGD_160","Storm","LEM","05_17_01_10:57:52","LEM","05_17_01_10:58:10"
"WM_LA_102","LA",102,"C_EGD_184","Storm","LEM","07_12_02_13:28:02","LEM","07_12_02_13:28:04"
"WM_LA_103","LA",103,"C_EGD_783","Storm","LEM","07_15_02_16:35:53","LEM","07_15_02_16:36:19"
"WM_LA_104","LA",104,"C_EGD_1558","Wind","LEM","08_22_02_11:19:14","LEM","08_22_02_11:19:15"
"WM_LA_106","LA",106,"C_EGD_1224","Tempest","LEM","11_18_02_15:55:07","LEM","11_18_02_15:55:15"
"WM_LA_107","LA",107,"C_EGD_1225","Tempest","LEM","11_18_02_16:10:15","LEM","11_18_02_16:10:17"
"WM_LA_12","LA",12,"C_EGD_63","Wind","LEM","10_09_01_10:47:47","LEM","10_09_01_10:47:51"
"WM_LA_2","LA",2,"C_EGD_162","Storm","LEM","05_18_01_13:05:55","LEM","05_18_01_13:05:56"
"WM_LA_3","LA",3,"C_EGD_165","Storm","LEM","05_18_01_15:21:55","LEM","05_18_01_15:22:28"
"WM_LA_4","LA",4,"C_EGD_434","Whirlwind","LEM","07_03_01_13:27:18","LEM","07_03_01_13:27:28"
"WM_LA_5","LA",5,"C_EGD_409","Whirlwind","LEM","07_04_01_12:57:52","LEM","07_04_01_12:57:58"
"WM_LA_74","LA",74,"C_EGD_110","Wind","LEM","10_10_01_09:22:07","LEM","10_10_01_09:22:08"
"WM_LA_75","LA",75,"C_EGD_110","Storm","LEM","10_10_01_09:22:11","LEM","10_10_01_09:22:12"
"WM_LA_8","LA",8,"C_EGD_59","Wind","LEM","10_09_01_09:51:02","LEM","10_09_01_09:51:05"
"WM_LA_9","LA",9,"C_EGD_59","Whirlwind","LEM","10_09_01_09:51:06","LEM","10_09_01_09:51:07"
"WM_LA_92","LA",92,"C_EGD_147","Wind","LEM","10_10_01_10:13:04","LEM","10_10_01_10:13:05"
"WM_LA_93","LA",93,"C_EGD_147","Storm","LEM","10_10_01_10:13:06","LEM","10_10_01_10:13:08"
"WM_LA_98","LA",98,"C_EGD_104","Wind","LEM","10_16_01_10:16:05","LEM","10_16_01_10:16:08"
"WM_LA_99","LA",99,"C_EGD_104","Storm","LEM","10_16_01_10:16:09","LEM","10_16_01_10:16:11"
